dataset_name,model,top_k,semantic_sim_mean,bleu_mean,tfidf_mean,response_time_mean,composite_score
sonar_gold_standard_dataset,OpenGVLab_InternVL3_5-8B-Q6_K,25,0.8049620389938354,0.09428017180424285,0.5434596674426846,18.28011989593506,0.5133067673716125
sonar_reasoning_pro_gold_standard_dataset,OpenGVLab_InternVL3_5-8B-Q6_K,25,0.7574972850935799,0.08661512944317466,0.518921198199738,15.186122110911779,0.48465981233030575
sonar_gold_standard_dataset,Qwen3-4B-Instruct-2507-Q8_0,5,0.8532001078128815,0.08951746498811736,0.595472082081675,10.517809319496155,0.5467769072460903
sonar_gold_standard_dataset,Qwen3-4B-Instruct-2507-Q8_0,10,0.8612235486507416,0.10093567817705215,0.5860702970411584,12.001118350028992,0.5505912120257598
sonar_gold_standard_dataset,Qwen3-4B-Instruct-2507-Q8_0,15,0.8502882242202758,0.10140847214626296,0.5736545832425402,14.200827193260192,0.5426342063047512
sonar_reasoning_pro_gold_standard_dataset,Qwen3-4B-Instruct-2507-Q8_0,15,0.8260288664272853,0.12802235616163918,0.5448626034278471,9.446206297193255,0.5322770344477601
sonar_gold_standard_dataset,Qwen3-4B-Instruct-2507-Q8_0,20,0.8605978667736054,0.09591126272600933,0.56346414234564,14.078391766548156,0.542051768230937
sonar_reasoning_pro_gold_standard_dataset,Qwen3-4B-Instruct-2507-Q8_0,20,0.8411029236657279,0.11836336394818014,0.5533242743134894,9.564777612686157,0.5379474609447921
sonar_gold_standard_dataset,Qwen3-4B-Instruct-2507-Q8_0,25,0.8546456634998322,0.08292128206287902,0.5675829231150342,16.943606972694397,0.5370095269533068
sonar_reasoning_pro_gold_standard_dataset,Qwen3-4B-Instruct-2507-Q8_0,25,0.8299573319298881,0.10049570926518714,0.5565990548695837,11.309177126203265,0.5291113620123865
sonar_gold_standard_dataset,Qwen3-4B-Instruct-2507-UD-Q6_K_XL,5,0.8313685238361359,0.09984889676423118,0.5762179832520679,9.34211823940277,0.5353674735393441
sonar_gold_standard_dataset,Qwen3-4B-Instruct-2507-UD-Q6_K_XL,10,0.8444566369056702,0.10503641811299817,0.5975449133822814,10.901107335090638,0.548557054210852
sonar_gold_standard_dataset,Qwen3-4B-Instruct-2507-UD-Q6_K_XL,15,0.8673153758049011,0.11327722810682313,0.5818080647526231,13.589163732528686,0.5554517381797944
sonar_reasoning_pro_gold_standard_dataset,Qwen3-4B-Instruct-2507-UD-Q6_K_XL,15,0.830980224268777,0.13478878694922178,0.5399116041602676,9.335286957877022,0.5348022070403576
sonar_gold_standard_dataset,Qwen3-4B-Instruct-2507-UD-Q6_K_XL,20,0.8423201322555542,0.07456817166532553,0.5667607742472082,15.152368855476379,0.5293267366759818
sonar_reasoning_pro_gold_standard_dataset,Qwen3-4B-Instruct-2507-UD-Q6_K_XL,20,0.8273548313549587,0.10639358858426971,0.5800255379582856,10.405476127352033,0.53686767050475
sonar_gold_standard_dataset,Qwen3-4B-Instruct-2507-UD-Q6_K_XL,25,0.8503932058811188,0.07426950734514397,0.5483003358815884,15.49374454021454,0.5269282353204672
sonar_reasoning_pro_gold_standard_dataset,Qwen3-4B-Instruct-2507-UD-Q6_K_XL,25,0.8253106389726911,0.10441957512653399,0.553870917712502,10.115969555718559,0.5276114034407872
sonar_gold_standard_dataset,Qwen3-8B-Q4_K_M,5,0.8289050757884979,0.06253931867532192,0.5160029810989789,25.67966055870056,0.5051247202476895
sonar_gold_standard_dataset,Qwen3-8B-Q4_K_M,10,0.8244199931621552,0.06399893288820561,0.5348653176655628,24.748490262031556,0.5094272724309926
sonar_gold_standard_dataset,Qwen3-8B-Q4_K_M,15,0.832789421081543,0.08010461626617743,0.5593300439897553,23.14728651046753,0.5249461665093971
sonar_reasoning_pro_gold_standard_dataset,Qwen3-8B-Q4_K_M,15,0.8196036985942295,0.09523598200655448,0.5556995701381923,23.744186980383738,0.5231221450811159
sonar_gold_standard_dataset,Qwen3-8B-Q4_K_M,20,0.8424873411655426,0.08508136160496119,0.5357504372211113,29.844503688812257,0.5232444761140388
sonar_reasoning_pro_gold_standard_dataset,Qwen3-8B-Q4_K_M,20,0.8272780009678432,0.11534725045222152,0.5278983792399466,26.55390293257577,0.5238848892947877
sonar_gold_standard_dataset,Qwen3-8B-Q4_K_M,25,0.8397746801376342,0.09163106400071791,0.5363464912564099,30.29608025550842,0.524303138632192
sonar_reasoning_pro_gold_standard_dataset,Qwen3-8B-Q4_K_M,25,0.8249489409582955,0.11212363114702852,0.5522693575692169,27.04766035079956,0.5292974729981919
sonar_gold_standard_dataset,Qwen3-8B-Q5_K_M,5,0.7865280151367188,0.053845099323119795,0.5423658316509665,28.35768578052521,0.4934744853469134
sonar_gold_standard_dataset,Qwen3-8B-Q5_K_M,10,0.8566904306411743,0.08291520109950516,0.550508543401519,28.002854347229004,0.532703295606777
sonar_gold_standard_dataset,Qwen3-8B-Q5_K_M,15,0.8302307188510895,0.06128001130101194,0.5264158464717562,30.725372195243835,0.5084010448722662
sonar_reasoning_pro_gold_standard_dataset,Qwen3-8B-Q5_K_M,15,0.8288682869502476,0.08129216926791606,0.5211784866998211,27.932094165257045,0.5122885115704202
sonar_gold_standard_dataset,Qwen3-8B-Q5_K_M,20,0.842681610584259,0.06859169920758632,0.4918431240503246,38.22086145877838,0.5052030912110769
sonar_reasoning_pro_gold_standard_dataset,Qwen3-8B-Q5_K_M,20,0.8150449224880764,0.09125433984290018,0.533408299278583,31.11348864010402,0.5134167607316755
sonar_gold_standard_dataset,Qwen3-8B-Q5_K_M,25,0.829243952035904,0.06944119700179094,0.5261196981187659,34.69356386661529,0.5103658493505286
sonar_reasoning_pro_gold_standard_dataset,Qwen3-8B-Q5_K_M,25,0.7881985817636762,0.08309997339119905,0.5094941299262458,30.490761007581437,0.493057663700704
sonar_gold_standard_dataset,Qwen3-8B-Q6_K,5,0.8333927154541015,0.07463493313738054,0.5565694590418963,32.96643187999725,0.5227184038354237
sonar_gold_standard_dataset,Qwen3-8B-Q6_K,10,0.8502682507038116,0.0820020349627153,0.5464743253277622,26.551338815689085,0.5286502083686679
sonar_gold_standard_dataset,Qwen3-8B-Q6_K,15,0.8196612238883972,0.06959882736728461,0.5279527954099537,33.60940473079681,0.5071299763885304
sonar_reasoning_pro_gold_standard_dataset,Qwen3-8B-Q6_K,15,0.7907411626407078,0.08814656993391315,0.5321083378614037,31.89931011199951,0.5023729373948782
sonar_gold_standard_dataset,Qwen3-8B-Q6_K,20,0.8334301233291626,0.08011600957332793,0.5528846948934636,34.86187410354614,0.5232722606717024
sonar_reasoning_pro_gold_standard_dataset,Qwen3-8B-Q6_K,20,0.8075486591884068,0.11276579309227172,0.5875022877382852,28.505206039973668,0.5330998879245298
sonar_gold_standard_dataset,Qwen3-8B-Q6_K,25,0.8335315883159637,0.06890089924631837,0.5067559507565192,38.050297594070436,0.5061096903272368
sonar_reasoning_pro_gold_standard_dataset,Qwen3-8B-Q6_K,25,0.8051428709711347,0.08437138596001126,0.5407212515038861,32.32332927840097,0.5095849396276231
